,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Gizo,SB,-8.103,156.8419,81.21,76,100,7.02,light rain
272,Eydhafushi,MV,5.1033,73.0708,81.9,76,98,16.55,overcast clouds
273,Muroto,JP,33.2833,134.15,77.04,92,94,15.93,overcast clouds
274,Arica,CL,-18.475,-70.3042,61.03,77,0,9.22,clear sky
275,Ugoofaaru,MV,5.6667,73.0,81.91,77,100,16.96,overcast clouds
276,Cascais,PT,38.6979,-9.4215,64.47,71,20,7.0,few clouds
277,Marystown,CA,47.1666,-55.1483,48.29,95,100,20.67,overcast clouds
278,La Ronge,CA,55.1001,-105.2842,93.42,31,40,11.5,scattered clouds
279,Hobyo,SO,5.3505,48.5268,77.45,83,76,29.35,broken clouds
280,Lahan,NP,26.7296,86.4951,77.9,85,100,3.85,overcast clouds
281,Bhag,PK,29.0415,67.8239,99.21,11,1,7.34,clear sky
282,Katherine,AU,-14.4667,132.2667,59.32,72,1,8.05,clear sky
283,Douglas,US,41.3,-96.167,86.95,48,40,3.0,scattered clouds
284,Shache,CN,38.4167,77.2406,79.03,29,100,5.66,overcast clouds
285,Cadillac,US,44.2519,-85.4012,72.79,56,40,13.8,scattered clouds
286,Murray Bridge,AU,-35.1167,139.2667,51.55,82,87,13.29,light rain
287,Banda Aceh,ID,5.5577,95.3222,79.03,83,72,4.34,heavy intensity rain
288,Zhangjiakou,CN,40.81,114.8794,63.41,78,100,0.18,overcast clouds
289,Trincomalee,LK,8.5711,81.2335,81.55,70,81,21.79,broken clouds
290,Marawi,PH,7.9986,124.2928,65.64,92,100,1.32,overcast clouds
291,Naryan-Mar,RU,67.6713,53.087,43.54,76,1,3.89,clear sky
292,Amga,RU,60.8953,131.9608,70.79,49,99,0.98,overcast clouds
293,Kumluca,TR,36.3703,30.2869,87.82,35,0,4.79,clear sky
294,Yumen,CN,40.2833,97.2,67.24,26,49,7.67,scattered clouds
295,Kirakira,SB,-10.4544,161.9205,80.89,81,85,13.11,overcast clouds
296,Kavaratti,IN,10.5669,72.642,82.63,76,100,16.4,overcast clouds
297,Fushun,CN,41.8558,123.9233,69.51,88,59,5.3,broken clouds
298,Araouane,ML,18.9048,-3.5265,96.67,22,46,12.84,scattered clouds
299,Nouadhibou,MR,20.931,-17.0347,65.91,88,1,26.31,clear sky
300,Kieta,PG,-6.2167,155.6333,80.78,80,100,1.99,overcast clouds
301,Richards Bay,ZA,-28.783,32.0377,63.07,76,0,3.49,clear sky
302,Necochea,AR,-38.5473,-58.7368,49.03,63,100,11.95,overcast clouds
303,San Quintin,MX,30.4833,-115.95,73.22,70,3,12.97,clear sky
304,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.19,76,1,9.8,clear sky
305,Almeirim,BR,-1.5233,-52.5817,78.78,74,95,3.67,overcast clouds
306,Tezu,IN,27.9167,96.1667,75.15,99,100,3.36,overcast clouds
307,Portoferraio,IT,42.8115,10.3146,77.97,70,100,9.78,overcast clouds
308,Flinders,AU,-34.5833,150.8552,53.38,95,5,1.01,clear sky
309,Gull Lake,CA,50.1001,-108.4847,93.65,18,0,18.05,clear sky
310,Nishihara,JP,26.1842,127.7558,80.26,100,75,10.36,mist
311,Anloga,GH,5.7947,0.8973,79.93,81,87,14.32,overcast clouds
312,Lukaya,UG,-0.1489,31.8748,64.67,81,63,1.95,broken clouds
313,Boa Vista,BR,2.8197,-60.6733,78.78,69,75,10.36,broken clouds
314,Mandalgovi,MN,45.7625,106.2708,50.11,81,76,7.99,broken clouds
315,Koslan,RU,63.4564,48.8989,53.26,58,99,7.81,overcast clouds
316,Karpogory,RU,64.0019,44.4451,46.42,80,45,5.53,scattered clouds
317,Tangzhai,CN,34.4328,116.5911,74.95,80,53,7.47,broken clouds
318,Luderitz,NA,-26.6481,15.1594,59.32,68,5,9.17,clear sky
319,Requena,ES,39.4883,-1.1004,67.78,58,4,2.46,clear sky
320,Iquique,CL,-20.2208,-70.1431,60.84,79,16,5.35,few clouds
321,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,2.3,clear sky
322,Zheleznodorozhnyy,RU,55.7503,38.0042,67.35,93,24,6.31,few clouds
323,Glenwood Springs,US,39.5505,-107.3248,84.4,46,40,3.44,scattered clouds
324,Meulaboh,ID,4.1363,96.1285,76.32,88,98,5.86,overcast clouds
325,Bakchar,RU,57.0186,82.0711,54.12,80,95,5.3,overcast clouds
326,Touros,BR,-5.1989,-35.4608,79.7,86,42,12.95,scattered clouds
327,Kastamonu,TR,41.5,33.6667,62.47,78,0,0.63,clear sky
328,Belaya Gora,RU,68.5333,146.4167,59.52,38,28,12.26,scattered clouds
329,Althofen,AT,46.8818,14.4676,55.65,92,52,4.23,broken clouds
330,Port Hedland,AU,-20.3167,118.5667,62.65,51,0,8.05,clear sky
331,Fortuna,US,40.5982,-124.1573,89.19,85,75,3.0,broken clouds
332,Murgab,TM,37.4966,61.9714,85.87,35,0,18.41,clear sky
333,Nanchong,CN,30.7951,106.0847,72.41,98,100,2.37,light rain
334,Hantsport,CA,45.0668,-64.1654,78.69,46,85,1.01,overcast clouds
335,Hindaun,IN,26.7167,77.0167,95.77,36,90,17.0,overcast clouds
336,Nueva Loja,EC,0.0847,-76.8828,76.48,78,0,4.61,clear sky
337,San Juan,AR,-31.5375,-68.5364,54.0,24,0,10.2,clear sky
338,Tara,RU,56.8944,74.371,64.98,97,16,7.18,light rain
339,Porto Belo,BR,-27.1578,-48.5531,64.17,79,28,1.5,scattered clouds
340,Yermakovskoye,RU,53.2831,92.4003,52.56,94,98,4.16,overcast clouds
341,Chikodi,IN,16.4333,74.6,72.77,85,100,8.46,overcast clouds
342,Vera Cruz,BR,-12.6333,-41.0333,72.97,64,100,6.55,overcast clouds
343,Ambulu,ID,-8.345,113.6058,71.85,88,9,4.03,clear sky
344,Gat,IL,31.61,34.7642,81.39,68,0,4.72,clear sky
345,Samarai,PG,-10.6167,150.6667,78.67,79,100,14.03,overcast clouds
